scale,source,rule_id,anchor_p,seed_q0,true_q_for_audit_only,audit_true_q_source,candidate_bound,trace_window,visible_candidate_count,selected_q,selected_defect,true_q_defect,selected_delta_from_true,failure_mode,pure_pgs_eligible_input
1000000000000,shadow_seed_recovery,seed_offset_phase_wall,999999997433,999999997439,999999997459,artifact,128,64,8,999999997517,1,4,58,selected_too_late,True
1000000000000,shadow_seed_recovery,candidate_margin_phase_wall,999999997433,999999997439,999999997459,artifact,128,64,8,999999997453,0,0,-6,selected_too_early,True
1000000000000,shadow_seed_recovery,literal_reanchor_identity,999999997397,999999997429,999999997433,artifact,128,64,9,999999997433,0,0,0,correct,True
1000000000000,shadow_seed_recovery,seed_offset_phase_wall,999999997397,999999997429,999999997433,artifact,128,64,9,999999997433,0,0,0,correct,True
1000000000000,shadow_seed_recovery,candidate_margin_phase_wall,999999997397,999999997429,999999997433,artifact,128,64,9,999999997459,0,1,26,selected_too_late,True
1000000000000,shadow_seed_recovery,literal_reanchor_identity,999999997391,999999997393,999999997397,artifact,128,64,11,999999997397,0,0,0,correct,True
1000000000000,shadow_seed_recovery,seed_offset_phase_wall,999999997391,999999997393,999999997397,artifact,128,64,11,999999997517,2,5,120,selected_too_late,True
1000000000000,shadow_seed_recovery,candidate_margin_phase_wall,999999997391,999999997393,999999997397,artifact,128,64,11,999999997429,0,3,32,selected_too_late,True
1000000000000,shadow_seed_recovery,literal_reanchor_identity,999999997343,999999997351,999999997391,artifact,128,64,11,999999997363,0,0,-28,selected_too_early,True
1000000000000,shadow_seed_recovery,seed_offset_phase_wall,999999997343,999999997351,999999997391,artifact,128,64,11,999999997363,1,1,-28,selected_too_early,True
1000000000000,shadow_seed_recovery,candidate_margin_phase_wall,999999997343,999999997351,999999997391,artifact,128,64,11,999999997363,0,0,-28,selected_too_early,True
1000000000000,shadow_seed_recovery,literal_reanchor_identity,999999997277,999999997307,999999997327,artifact,128,64,8,999999997327,0,0,0,correct,True
1000000000000,shadow_seed_recovery,seed_offset_phase_wall,999999997277,999999997307,999999997327,artifact,128,64,8,999999997327,0,0,0,correct,True
1000000000000,shadow_seed_recovery,candidate_margin_phase_wall,999999997277,999999997307,999999997327,artifact,128,64,8,999999997327,0,0,0,correct,True
1000000000000,shadow_seed_recovery,literal_reanchor_identity,999999997201,999999997223,999999997259,artifact,128,64,5,999999997253,0,0,-6,selected_too_early,True
1000000000000,shadow_seed_recovery,seed_offset_phase_wall,999999997201,999999997223,999999997259,artifact,128,64,5,999999997253,0,0,-6,selected_too_early,True
1000000000000,shadow_seed_recovery,candidate_margin_phase_wall,999999997201,999999997223,999999997259,artifact,128,64,5,999999997253,0,0,-6,selected_too_early,True
1000000000000,shadow_seed_recovery,literal_reanchor_identity,999999997163,999999997189,999999997201,artifact,128,64,5,999999997201,0,0,0,correct,True
1000000000000,shadow_seed_recovery,seed_offset_phase_wall,999999997163,999999997189,999999997201,artifact,128,64,5,999999997201,0,0,0,correct,True
1000000000000,shadow_seed_recovery,candidate_margin_phase_wall,999999997163,999999997189,999999997201,artifact,128,64,5,999999997201,0,0,0,correct,True
1000000000000,shadow_seed_recovery,literal_reanchor_identity,999999997147,999999997151,999999997163,artifact,128,64,6,999999997163,0,0,0,correct,True
1000000000000,shadow_seed_recovery,seed_offset_phase_wall,999999997147,999999997151,999999997163,artifact,128,64,6,999999997163,1,1,0,correct,True
1000000000000,shadow_seed_recovery,candidate_margin_phase_wall,999999997147,999999997151,999999997163,artifact,128,64,6,999999997189,0,1,26,selected_too_late,True
1000000000000,shadow_seed_recovery,literal_reanchor_identity,999999997103,999999997121,999999997147,artifact,128,64,7,999999997133,0,0,-14,selected_too_early,True
1000000000000,shadow_seed_recovery,seed_offset_phase_wall,999999997103,999999997121,999999997147,artifact,128,64,7,999999997133,0,0,-14,selected_too_early,True
1000000000000,shadow_seed_recovery,candidate_margin_phase_wall,999999997103,999999997121,999999997147,artifact,128,64,7,999999997133,0,0,-14,selected_too_early,True
1000000000000,shadow_seed_recovery,literal_reanchor_identity,999999997013,999999997093,999999997103,artifact,128,64,4,999999997099,0,0,-4,selected_too_early,True
1000000000000,shadow_seed_recovery,seed_offset_phase_wall,999999997013,999999997093,999999997103,artifact,128,64,4,999999997099,0,0,-4,selected_too_early,True
1000000000000,shadow_seed_recovery,candidate_margin_phase_wall,999999997013,999999997093,999999997103,artifact,128,64,4,999999997121,0,2,18,selected_too_late,True
1000000000000,shadow_seed_recovery,literal_reanchor_identity,999999996901,999999996949,999999996977,artifact,128,64,3,999999996977,0,0,0,correct,True
1000000000000,shadow_seed_recovery,seed_offset_phase_wall,999999996901,999999996949,999999996977,artifact,128,64,3,999999996977,0,0,0,correct,True
1000000000000,shadow_seed_recovery,candidate_margin_phase_wall,999999996901,999999996949,999999996977,artifact,128,64,3,999999996977,0,0,0,correct,True
1000000000000,shadow_seed_recovery,literal_reanchor_identity,999999996881,999999996887,999999996889,artifact,128,64,6,999999996889,0,0,0,correct,True
1000000000000,shadow_seed_recovery,seed_offset_phase_wall,999999996881,999999996887,999999996889,artifact,128,64,6,999999996899,0,1,10,selected_too_late,True
1000000000000,shadow_seed_recovery,candidate_margin_phase_wall,999999996881,999999996887,999999996889,artifact,128,64,6,999999996899,0,3,10,selected_too_late,True
1000000000000,shadow_seed_recovery,literal_reanchor_identity,999999996823,999999996833,999999996881,artifact,128,64,7,999999996871,0,0,-10,selected_too_early,True
1000000000000,shadow_seed_recovery,seed_offset_phase_wall,999999996823,999999996833,999999996881,artifact,128,64,7,999999996871,0,0,-10,selected_too_early,True
1000000000000,shadow_seed_recovery,candidate_margin_phase_wall,999999996823,999999996833,999999996881,artifact,128,64,7,999999996871,0,0,-10,selected_too_early,True
1000000000000,shadow_seed_recovery,literal_reanchor_identity,999999996701,999999996727,999999996739,artifact,128,64,4,999999996739,0,0,0,correct,True
1000000000000,shadow_seed_recovery,seed_offset_phase_wall,999999996701,999999996727,999999996739,artifact,128,64,4,999999996739,0,0,0,correct,True
1000000000000,shadow_seed_recovery,candidate_margin_phase_wall,999999996701,999999996727,999999996739,artifact,128,64,4,999999996739,0,0,0,correct,True
1000000000000,shadow_seed_recovery,literal_reanchor_identity,999999996581,999999996599,999999996601,artifact,128,64,5,999999996601,0,0,0,correct,True
1000000000000,shadow_seed_recovery,seed_offset_phase_wall,999999996581,999999996599,999999996601,artifact,128,64,5,999999996601,0,0,0,correct,True
1000000000000,shadow_seed_recovery,candidate_margin_phase_wall,999999996581,999999996599,999999996601,artifact,128,64,5,999999996623,0,3,22,selected_too_late,True
