scale,anchor_p,seed_q0,recovered_q_for_audit_only,true_margin_q_minus_q0,visible_open_count_after_seed,true_visible_open_ordinal_of_q,threat_witness_bound,threat_n,threat_witness,threat_delta_from_seed,selected_candidate_n,predicted_margin_qhat_minus_q0,predicted_visible_open_ordinal,margin_error_qhat_minus_q,failure_mode
1000000000000000,999999999995471,999999999995509,999999999995539,30,9,3,97,999999999995513,11,4,,,,,no_selection
1000000000000000,999999999995453,999999999995461,999999999995471,10,8,1,97,999999999995473,31,12,999999999995471,10,1,0,correct
1000000000000000,999999999995393,999999999995431,999999999995453,22,5,2,97,999999999995437,7,6,,,,,no_selection
1000000000000000,999999999995371,999999999995389,999999999995393,4,6,1,97,999999999995399,13,10,999999999995393,4,1,0,correct
1000000000000000,999999999995357,999999999995369,999999999995371,2,8,1,97,999999999995381,7,12,999999999995371,2,1,0,correct
1000000000000000,999999999995327,999999999995329,999999999995357,28,8,1,97,999999999995339,7,10,,,,,no_selection
1000000000000000,999999999995273,999999999995281,999999999995327,46,9,3,97,999999999995287,31,6,,,,,no_selection
1000000000000000,999999999995179,999999999995197,999999999995273,76,4,3,97,999999999995213,7,16,999999999995207,10,1,-66,selected_too_early
1000000000000000,999999999995089,999999999995123,999999999995179,56,4,2,97,999999999995129,7,6,,,,,no_selection
1000000000000000,999999999995021,999999999995047,999999999995069,22,4,2,97,999999999995051,11,4,,,,,no_selection
1000000000000000,999999999994991,999999999995011,999999999995021,10,5,1,97,999999999995017,7,6,,,,,no_selection
1000000000000000,999999999994901,999999999994913,999999999994991,78,6,4,97,999999999994919,7,6,,,,,no_selection
1000000000000000,999999999994829,999999999994841,999999999994873,32,7,2,97,999999999994843,19,2,,,,,no_selection
1000000000000000,999999999994813,999999999994823,999999999994829,6,8,1,97,999999999994831,11,8,999999999994829,6,1,0,correct
1000000000000000,999999999994733,999999999994739,999999999994789,50,9,3,97,999999999994751,7,12,,,,,no_selection
1000000000000000,999999999994687,999999999994711,999999999994727,16,8,1,97,999999999994717,97,6,,,,,no_selection
1000000000000000,999999999994601,999999999994621,999999999994627,6,6,1,97,999999999994633,11,12,999999999994627,6,1,0,correct
1000000000000000,999999999994511,999999999994519,999999999994537,18,7,1,97,999999999994523,11,4,,,,,no_selection
1000000000000000,999999999994477,999999999994507,999999999994511,4,6,1,97,999999999994513,7,6,999999999994511,4,1,0,correct
1000000000000000,999999999994451,999999999994453,999999999994477,24,9,3,97,999999999994457,7,4,,,,,no_selection
1000000000000000,999999999994417,999999999994439,999999999994451,12,9,1,97,999999999994441,53,2,,,,,no_selection
1000000000000000,999999999994379,999999999994381,999999999994417,36,11,4,97,999999999994387,7,6,,,,,no_selection
1000000000000000,999999999994319,999999999994339,999999999994379,40,7,1,97,999999999994343,59,4,,,,,no_selection
1000000000000000,999999999994267,999999999994279,999999999994309,30,6,1,97,999999999994283,71,4,,,,,no_selection
1000000000000000,999999999994213,999999999994241,999999999994243,2,6,1,97,999999999994247,7,6,999999999994243,2,1,0,correct
1000000000000000,999999999994129,999999999994169,999999999994207,38,5,2,97,999999999994171,11,2,,,,,no_selection
1000000000000000,999999999994103,999999999994111,999999999994117,6,6,1,97,999999999994121,7,10,999999999994117,6,1,0,correct
1000000000000000,999999999994063,999999999994067,999999999994103,36,8,3,97,999999999994073,13,6,,,,,no_selection
1000000000000000,999999999993977,999999999993983,999999999994043,60,9,3,97,999999999993989,59,6,,,,,no_selection
1000000000000000,999999999993937,999999999993961,999999999993971,10,8,1,97,999999999993967,7,6,,,,,no_selection
1000000000000000,999999999993791,999999999993809,999999999993881,72,3,1,97,999999999993817,17,8,,,,,no_selection
1000000000000000,999999999993727,999999999993733,999999999993791,58,2,1,97,999999999993737,31,4,,,,,no_selection
1000000000000000,999999999993653,999999999993677,999999999993689,12,4,1,97,999999999993683,13,6,,,,,no_selection
1000000000000000,999999999993629,999999999993637,999999999993649,12,7,1,97,999999999993643,11,6,,,,,no_selection
1000000000000000,999999999993583,999999999993607,999999999993629,22,6,1,97,999999999993611,67,4,,,,,no_selection
1000000000000000,999999999993557,999999999993563,999999999993569,6,8,1,97,999999999993577,11,14,999999999993569,6,1,0,correct
1000000000000000,999999999993497,999999999993539,999999999993557,18,5,1,97,999999999993547,7,8,,,,,no_selection
1000000000000000,999999999993473,999999999993479,999999999993497,18,7,2,97,999999999993481,73,2,,,,,no_selection
1000000000000000,999999999993389,999999999993433,999999999993473,40,5,2,97,999999999993437,19,4,,,,,no_selection
1000000000000000,999999999993331,999999999993349,999999999993377,28,3,1,97,999999999993359,97,10,,,,,no_selection
1000000000000000,999999999993227,999999999993229,999999999993331,102,8,7,97,999999999993233,23,4,,,,,no_selection
1000000000000000,999999999993217,999999999993221,999999999993227,6,10,2,97,999999999993233,23,12,999999999993229,8,3,2,selected_too_late
1000000000000000,999999999993131,999999999993139,999999999993143,4,12,1,97,999999999993163,13,24,999999999993157,18,3,14,selected_too_late
1000000000000000,999999999993109,999999999993121,999999999993131,10,12,1,97,999999999993127,7,6,,,,,no_selection
