left_prime,right_prime,left_residue_mod30,right_residue_mod30,preceding_type_key,preceding_family,preceding_gap_width,following_type_key,following_family,following_gap_width,same_outer_family
327797,327799,17,19,o2_d4_a2_odd_semiprime,odd_semiprime,18,o4_d4_a2_odd_semiprime,odd_semiprime,10,True
327827,327829,17,19,o4_d8_a3_higher_divisor_even,higher_divisor_even,4,o4_d4_a4_odd_semiprime,odd_semiprime,10,False
327851,327853,11,13,o2_d4_a2_odd_semiprime,odd_semiprime,12,o4_d4_a1_even_semiprime,even_semiprime,16,False
327869,327871,29,1,o4_d4_a1_even_semiprime,even_semiprime,16,o6_d8_a3_higher_divisor_even,higher_divisor_even,10,False
328061,328063,11,13,o6_d4_a6_odd_semiprime,odd_semiprime,10,o4_d8_a2_higher_divisor_odd,higher_divisor_odd,4,False
328127,328129,17,19,o2_d6_a3_higher_divisor_even,higher_divisor_even,6,o4_d4_a8_odd_semiprime,odd_semiprime,42,False
328331,328333,11,13,o4_d8_a3_higher_divisor_even,higher_divisor_even,4,o4_d4_a4_odd_semiprime,odd_semiprime,10,False
328379,328381,29,1,o6_d8_a3_higher_divisor_even,higher_divisor_even,6,o6_d4_a1_even_semiprime,even_semiprime,16,False
328511,328513,11,13,o2_d4_a6_odd_semiprime,odd_semiprime,30,o4_d6_a3_higher_divisor_even,higher_divisor_even,6,False
328589,328591,29,1,o4_d4_a3_even_semiprime,even_semiprime,10,o6_d4_a4_odd_semiprime,odd_semiprime,28,False
328619,328621,29,1,o6_d4_a4_odd_semiprime,odd_semiprime,28,o6_d4_a2_odd_semiprime,odd_semiprime,12,True
328637,328639,17,19,o4_d8_a1_higher_divisor_even,higher_divisor_even,4,o4_d4_a2_odd_semiprime,odd_semiprime,12,False
328787,328789,17,19,o2_d8_a2_higher_divisor_odd,higher_divisor_odd,6,o4_d4_a2_odd_semiprime,odd_semiprime,24,False
328847,328849,17,19,o4_d4_a1_even_semiprime,even_semiprime,10,o4_d4_a8_odd_semiprime,odd_semiprime,34,False
328919,328921,29,1,o2_d4_a2_odd_semiprime,odd_semiprime,18,o6_d4_a6_odd_semiprime,odd_semiprime,10,True
329081,329083,11,13,o4_d4_a3_even_semiprime,even_semiprime,22,o4_d4_a4_odd_semiprime,odd_semiprime,6,False
329207,329209,17,19,o2_d6_a3_higher_divisor_even,higher_divisor_even,6,o4_d4_a4_odd_semiprime,odd_semiprime,24,False
329267,329269,17,19,o4_d4_a4_odd_semiprime,odd_semiprime,10,o4_d4_a10_odd_semiprime,odd_semiprime,12,True
329297,329299,17,19,o4_d16_a1_higher_divisor_even,higher_divisor_even,4,o4_d4_a7_even_semiprime,even_semiprime,10,False
329471,329473,11,13,o6_d4_a6_odd_semiprime,odd_semiprime,40,o4_d4_a4_odd_semiprime,odd_semiprime,16,True
329627,329629,17,19,o4_d4_a1_even_semiprime,even_semiprime,10,o4_d4_a6_odd_semiprime,odd_semiprime,10,False
329801,329803,11,13,o2_d8_a2_higher_divisor_odd,higher_divisor_odd,12,o4_d4_a4_odd_semiprime,odd_semiprime,60,False
