p,square,previous_prime,offset,o_q,fixed_cutoff,dynamic_cutoff
3037,9223369,9223351,18,6,60,129
3041,9247681,9247663,18,4,60,129
3049,9296401,9296387,14,2,44,129
3061,9369721,9369713,8,6,60,129
3067,9406489,9406483,6,4,60,129
3079,9480241,9480239,2,2,44,130
3083,9504889,9504877,12,4,60,130
3089,9541921,9541919,2,2,44,130
3109,9665881,9665863,18,4,60,130
3119,9728161,9728153,8,6,60,130
3121,9740641,9740639,2,2,44,130
3137,9840769,9840763,6,4,60,130
3163,10004569,10004557,12,4,60,130
3167,10029889,10029883,6,4,60,130
3169,10042561,10042553,8,6,60,130
3181,10118761,10118753,8,6,60,131
3187,10156969,10156957,12,4,60,131
3191,10182481,10182463,18,4,60,131
3203,10259209,10259203,6,4,60,131
3209,10297681,10297669,12,4,60,131
3217,10349089,10349083,6,4,60,131
3221,10374841,10374839,2,2,44,131
3229,10426441,10426417,24,4,60,131
3251,10569001,10568993,8,6,60,131
3253,10582009,10581959,50,2,44,131
3257,10608049,10608029,20,2,44,131
3259,10621081,10621063,18,4,60,131
3271,10699441,10699421,20,2,44,131
3299,10883401,10883399,2,2,44,132
3301,10896601,10896577,24,4,60,132
3307,10936249,10936243,6,4,60,132
3313,10975969,10975967,2,2,44,132
3319,11015761,11015743,18,4,60,132
3323,11042329,11042309,20,2,44,132
3329,11082241,11082233,8,6,60,132
3331,11095561,11095559,2,2,44,132
3343,11175649,11175617,32,2,44,132
3347,11202409,11202349,60,4,60,132
3359,11282881,11282879,2,2,44,132
3361,11296321,11296301,20,2,44,132
3371,11363641,11363617,24,4,60,132
3373,11377129,11377127,2,2,44,132
3389,11485321,11485277,44,2,44,133
3391,11498881,11498843,38,6,60,133
3407,11607649,11607623,26,6,60,133
3413,11648569,11648561,8,2,44,133
3433,11785489,11785463,26,6,60,133
3449,11895601,11895589,12,4,60,133
3457,11950849,11950837,12,4,60,133
3461,11978521,11978507,14,2,44,133
3463,11992369,11992349,20,2,44,133
3467,12020089,12020083,6,4,60,133
3469,12033961,12033953,8,6,60,133
3491,12187081,12187073,8,6,60,134
3499,12243001,12242987,14,2,44,134
3511,12327121,12327109,12,4,60,134
3517,12369289,12369281,8,2,44,134
3527,12439729,12439727,2,2,44,134
3529,12453841,12453829,12,4,60,134
3533,12482089,12482059,30,4,60,134
3539,12524521,12524509,12,4,60,134
3541,12538681,12538679,2,2,44,134
3547,12581209,12581183,26,6,60,134
3557,12652249,12652229,20,2,44,134
3559,12666481,12666461,20,2,44,134
3571,12752041,12752029,12,4,60,134
3581,12823561,12823541,20,2,44,134
3583,12837889,12837883,6,4,60,134
3593,12909649,12909643,6,4,60,135
3607,13010449,13010447,2,2,44,135
3613,13053769,13053749,20,2,44,135
3617,13082689,13082687,2,2,44,135
3623,13126129,13126121,8,2,44,135
3631,13184161,13184153,8,6,60,135
3637,13227769,13227757,12,4,60,135
3643,13271449,13271429,20,2,44,135
3659,13388281,13388269,12,4,60,135
3671,13476241,13476233,8,6,60,135
3673,13490929,13490879,50,2,44,135
3677,13520329,13520303,26,6,60,135
3691,13623481,13623469,12,4,60,135
3697,13667809,13667803,6,4,60,135
3701,13697401,13697399,2,2,44,136
3709,13756681,13756679,2,2,44,136
3719,13830961,13830953,8,6,60,136
3727,13890529,13890509,20,2,44,136
3733,13935289,13935281,8,2,44,136
3739,13980121,13980107,14,2,44,136
3761,14145121,14145091,30,6,60,136
3767,14190289,14190271,18,6,60,136
3769,14205361,14205349,12,4,60,136
3779,14280841,14280829,12,4,60,136
