p,square,previous_prime,offset,o_q,fixed_cutoff,dynamic_cutoff
121349,14725579801,14725579727,74,2,44,275
121591,14784371281,14784371207,74,2,44,275
121763,14826228169,14826228101,68,2,44,275
121889,14856928321,14856928243,78,4,60,275
121909,14861804281,14861804173,108,4,60,275
122081,14903770561,14903770499,62,2,44,275
122147,14919889609,14919889513,96,4,60,275
122497,15005515009,15005514959,50,2,44,275
122777,15074191729,15074191679,50,2,44,275
122887,15101214769,15101214683,86,6,60,275
123203,15178979209,15178979143,66,4,60,275
123419,15232249561,15232249499,62,2,44,275
123503,15252991009,15252990959,50,2,44,275
123547,15263861209,15263861143,66,4,60,275
124213,15428869369,15428869319,50,2,44,276
124783,15570797089,15570797023,66,4,60,276
124981,15620250361,15620250293,68,6,60,276
125107,15651761449,15651761381,68,2,44,276
125197,15674288809,15674288759,50,2,44,276
125261,15690318121,15690318023,98,6,60,276
125617,15779630689,15779630551,138,6,60,276
125899,15850558201,15850558117,84,4,60,276
126233,15934770289,15934770239,50,2,44,276
126257,15940830049,15940829929,120,4,60,276
126311,15954468721,15954468671,50,2,44,276
126541,16012624681,16012624609,72,4,60,277
126547,16014143209,16014143147,62,2,44,277
127133,16162799689,16162799621,68,2,44,277
127157,16168902649,16168902583,66,4,60,277
127249,16192308001,16192307939,62,2,44,277
127363,16221333769,16221333703,66,4,60,277
127423,16236620929,16236620879,50,2,44,277
127493,16254465049,16254464927,122,2,44,277
127529,16263645841,16263645721,120,6,60,277
127549,16268747401,16268747351,50,2,44,277
127681,16302437761,16302437699,62,2,44,277
128047,16396034209,16396034147,62,2,44,277
128257,16449858049,16449857953,96,4,60,277
128273,16453962529,16453962439,90,4,60,277
