scale,anchor_p,seed_s0,terminal_q,terminal_index,chain_index,node_n,least_factor_for_audit_only,sqrt_node,left_distance,center_distance,sqrt_minus_least_factor,two_lane_distance,least_factor_over_sqrt_node,center_distance_over_sqrt_node,two_lane_distance_over_sqrt_node,lane,closure_lane,node_offset_from_anchor,node_offset_from_seed,seed_offset,delta_prev,delta_next,prefix_delta_vector,chain_delta_vector,carrier_to_node_delta,node_mod_30,offset_mod_30,candidate_bound,visible_divisor_bound
1000000000000000,999999999999283,999999999999307,999999999999353,3,1,999999999999311,122053,31622776,122053,31500723,31500723,122053,0.0038596548260026254,0.9961403451739974,0.0038596548260026254,low_factor,small_shadow_horizon,28,4,24,4,20,[4],"[4,20,22,8,6,22,20]",28,11,28,128,10000
1000000000000000,999999999999283,999999999999307,999999999999353,3,2,999999999999331,171481,31622776,171481,31451295,31451295,171481,0.005422705457610679,0.9945772945423893,0.005422705457610679,low_factor,small_shadow_horizon,48,24,24,20,22,"[4,20]","[4,20,22,8,6,22,20]",48,1,18,128,10000
1000000000000000,999999999999199,999999999999271,999999999999283,2,1,999999999999277,424709,31622776,424709,31198067,31198067,424709,0.013430478083265049,0.986569521916735,0.013430478083265049,low_factor,small_shadow_horizon,78,6,72,6,6,[6],"[6,6,24,4]",78,7,18,128,10000
1000000000000000,999999999999109,999999999999113,999999999999163,3,1,999999999999127,20023,31622776,20023,31602753,31602753,20023,0.0006331828679430294,0.999366817132057,0.0006331828679430294,low_factor,small_shadow_horizon,18,14,4,14,22,[14],"[14,22,14,28,8]",18,7,18,128,10000
1000000000000000,999999999999109,999999999999113,999999999999163,3,2,999999999999149,4343957,31622776,4343957,27278819,27278819,4343957,0.1373679843920091,0.8626320156079909,0.1373679843920091,low_factor,small_shadow_horizon,40,36,4,22,14,"[14,22]","[14,22,14,28,8]",40,29,10,128,10000
1000000000000000,999999999998939,999999999998953,999999999999043,2,1,999999999999001,45833,31622776,45833,31576943,31576943,45833,0.0014493667475619471,0.9985506332524381,0.0014493667475619471,low_factor,small_shadow_horizon,62,48,14,48,42,[48],"[48,42]",62,1,2,128,10000
1000000000000000,999999999998761,999999999998771,999999999998803,2,1,999999999998773,112061,31622776,112061,31510715,31510715,112061,0.0035436800361865763,0.9964563199638135,0.0035436800361865763,low_factor,small_shadow_horizon,12,2,10,2,30,[2],"[2,30,4,54]",12,13,12,128,10000
1000000000000000,999999999998627,999999999998641,999999999998711,4,1,999999999998653,15683,31622776,15683,31607093,31607093,15683,0.000495940014880414,0.9995040599851196,0.000495940014880414,low_factor,small_shadow_horizon,26,12,14,12,30,[12],"[12,30,6,22,12,6,14,6]",26,13,26,128,10000
1000000000000000,999999999998627,999999999998641,999999999998711,4,2,999999999998683,594931,31622776,594931,31027845,31027845,594931,0.01881337046437669,0.9811866295356233,0.01881337046437669,low_factor,small_shadow_horizon,56,42,14,30,6,"[12,30]","[12,30,6,22,12,6,14,6]",56,13,26,128,10000
1000000000000000,999999999998627,999999999998641,999999999998711,4,3,999999999998689,31321,31622776,31321,31591455,31591455,31321,0.0009904570047866766,0.9990095429952133,0.0009904570047866766,low_factor,small_shadow_horizon,62,48,14,6,22,"[12,30,6]","[12,30,6,22,12,6,14,6]",62,19,2,128,10000
