current_right_prime,next_prime,gap_width,first_open_offset,exact_next_dmin,exact_next_peak_offset,cutoff,cutoff_utilization,exact_gap_boundary_offset,boundary_utilization,divisor_ladder
12613,12619,6,4,8,4,64,0.0625,6,0.09375,16 12 16 8
12799,12809,10,4,6,8,64,0.125,10,0.15625,30 8 8 8 24 8 8 6
12799,12809,10,4,6,8,64,0.125,10,0.15625,30 8 8 8 24 8 8 6
12853,12889,36,4,4,1,64,0.015625,36,0.5625,4
13687,13691,4,4,12,3,64,0.046875,4,0.0625,16 15 12
15359,15361,2,2,44,1,64,0.015625,2,0.03125,44
15683,15727,44,6,4,2,64,0.03125,44,0.6875,12 4
16091,16097,6,2,8,3,64,0.046875,6,0.09375,24 12 8
17573,17579,6,6,12,2,64,0.03125,6,0.09375,16 12
19157,19163,6,2,6,4,64,0.0625,6,0.09375,16 12 16 6
19333,19373,40,4,4,4,64,0.0625,40,0.625,8 8 8 4
19609,19661,52,4,4,4,64,0.0625,52,0.8125,16 6 6 4
21487,21491,4,4,16,2,64,0.03125,4,0.0625,20 16
21569,21577,8,2,6,3,64,0.046875,8,0.125,16 8 6
21599,21601,2,2,72,1,64,0.015625,2,0.03125,72
21601,21611,10,6,8,1,64,0.015625,10,0.15625,8
21787,21799,12,4,4,10,64,0.15625,12,0.1875,12 10 8 8 24 8 8 8 6 4
21839,21841,2,2,80,1,64,0.015625,2,0.03125,80
22193,22229,36,6,3,8,64,0.125,36,0.5625,20 8 12 12 8 4 48 3
23021,23027,6,2,8,5,64,0.078125,6,0.09375,12 16 10 12 8
23159,23167,8,2,6,5,64,0.078125,8,0.125,32 8 8 8 6
24631,24659,28,6,3,18,64,0.28125,28,0.4375,8 24 8 8 12 4 8 8 56 4 18 4 12 16 4 6 32 3
25471,25523,52,6,4,6,64,0.09375,52,0.8125,16 8 8 6 24 4
25673,25679,6,6,8,5,64,0.078125,6,0.09375,16 12 18 10 8
28229,28277,48,2,4,6,64,0.09375,48,0.75,16 8 8 6 8 4
28591,28597,6,6,10,1,64,0.015625,6,0.09375,10
28607,28619,12,2,4,10,64,0.15625,12,0.1875,28 8 8 18 12 8 16 8 24 4
29759,29761,2,2,56,1,64,0.015625,2,0.03125,56
31397,31469,72,2,4,2,64,0.03125,72,1.125,8 4
33599,33601,2,2,84,1,64,0.015625,2,0.03125,84
34519,34537,18,4,4,12,64,0.1875,18,0.28125,16 8 8 8 36 6 8 8 24 8 16 4
35117,35129,12,2,8,2,64,0.03125,12,0.1875,12 8
35279,35281,2,2,90,1,64,0.015625,2,0.03125,90
35617,35671,54,4,4,4,64,0.0625,54,0.84375,8 8 24 4
35983,35993,10,4,8,2,64,0.03125,10,0.15625,20 8
36269,36277,8,2,6,6,64,0.09375,8,0.125,48 8 10 8 8 6
39343,39359,16,4,6,6,64,0.09375,16,0.25,10 16 8 12 18 6
39581,39607,26,2,3,20,64,0.3125,26,0.40625,16 4 12 32 4 4 12 8 16 12 24 6 8 4 12 8 8 4 90 3
39581,39607,26,2,3,20,64,0.3125,26,0.40625,16 4 12 32 4 4 12 8 16 12 24 6 8 4 12 8 8 4 90 3
42433,42437,4,4,9,3,64,0.046875,4,0.0625,12 24 9
42839,42841,2,2,96,1,64,0.015625,2,0.03125,96
44293,44351,58,4,4,1,64,0.015625,58,0.90625,4
51721,51749,28,6,4,12,64,0.1875,28,0.4375,8 12 12 6 16 8 20 8 16 6 24 4
55439,55441,2,2,120,1,64,0.015625,2,0.03125,120
57271,57283,12,6,8,1,64,0.015625,12,0.1875,8
58309,58313,4,4,16,3,64,0.046875,4,0.0625,32 24 16
58831,58889,58,6,4,6,64,0.09375,58,0.90625,10 8 8 12 12 4
60661,60679,18,6,4,16,64,0.25,18,0.28125,12 8 8 8 8 8 12 20 8 6 36 8 8 12 24 4
62989,63029,40,4,3,12,64,0.1875,40,0.625,8 8 20 4 8 8 6 16 8 4 96 3
63113,63127,14,6,6,4,64,0.0625,14,0.21875,16 8 12 6
68099,68111,12,2,6,9,64,0.140625,12,0.1875,36 8 8 24 8 8 8 8 6
68099,68111,12,2,6,9,64,0.140625,12,0.1875,36 8 8 24 8 8 8 8 6
68659,68669,10,4,6,9,64,0.140625,10,0.15625,12 8 8 8 16 8 16 8 6
70223,70229,6,6,9,2,64,0.03125,6,0.09375,80 9
72223,72227,4,4,24,1,64,0.015625,4,0.0625,24
78941,78977,36,2,3,20,64,0.3125,36,0.5625,16 4 12 16 8 4 48 4 12 4 16 4 8 4 6 12 16 4 80 3
81647,81649,2,2,70,1,64,0.015625,2,0.03125,70
81899,81901,2,2,108,1,64,0.015625,2,0.03125,108
84131,84137,6,2,12,2,65,0.03076923076923077,6,0.09230769230769231,48 12
84131,84137,6,2,12,2,65,0.03076923076923077,6,0.09230769230769231,48 12
87649,87671,22,4,4,14,65,0.2153846153846154,22,0.3384615384615385,12 6 12 8 16 8 8 8 8 8 36 6 8 4
88019,88037,18,2,4,12,65,0.18461538461538463,18,0.27692307692307694,48 8 8 16 8 12 16 8 12 6 8 4
