scale,vector_mode,candidate_domain,anchor_p,seed_q0,true_q_for_audit_only,selected_q,selected_delta_from_true,selected_csr,min_tie_count,candidate_count,vector_length_used,failure_mode
1000000000000000,anchor_prefix_to_seed,visible_open_anchor_bound,999999999999283,999999999999307,999999999999353,999999999999311,-42,2,5,7,24,selected_too_early
1000000000000000,anchor_prefix_to_seed,all_integer_seed_bound,999999999999283,999999999999307,999999999999353,999999999999308,-45,0,1,128,24,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_seed_bound,999999999999283,999999999999307,999999999999353,999999999999311,-42,2,6,9,24,selected_too_early
1000000000000000,fixed_128_pre_shadow,all_integer_anchor_bound,999999999999199,999999999999271,999999999999283,999999999999279,-4,7,3,56,128,selected_too_early
1000000000000000,fixed_128_pre_shadow,visible_open_anchor_bound,999999999999199,999999999999271,999999999999283,999999999999307,24,7,1,4,128,selected_too_late
1000000000000000,fixed_128_pre_shadow,all_integer_seed_bound,999999999999199,999999999999271,999999999999283,999999999999279,-4,7,3,128,128,selected_too_early
1000000000000000,fixed_128_pre_shadow,visible_open_seed_bound,999999999999199,999999999999271,999999999999283,999999999999307,24,7,1,9,128,selected_too_late
1000000000000000,anchor_prefix_to_seed,all_integer_anchor_bound,999999999999199,999999999999271,999999999999283,999999999999272,-11,0,1,56,72,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_anchor_bound,999999999999199,999999999999271,999999999999283,999999999999277,-6,2,1,4,72,selected_too_early
1000000000000000,anchor_prefix_to_seed,all_integer_seed_bound,999999999999199,999999999999271,999999999999283,999999999999272,-11,0,1,128,72,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_seed_bound,999999999999199,999999999999271,999999999999283,999999999999277,-6,2,1,9,72,selected_too_early
1000000000000000,fixed_128_pre_shadow,all_integer_anchor_bound,999999999999163,999999999999191,999999999999199,999999999999269,70,9,1,100,128,selected_too_late
1000000000000000,fixed_128_pre_shadow,visible_open_anchor_bound,999999999999163,999999999999191,999999999999199,999999999999277,78,12,2,4,128,selected_too_late
1000000000000000,fixed_128_pre_shadow,all_integer_seed_bound,999999999999163,999999999999191,999999999999199,999999999999269,70,9,2,128,128,selected_too_late
1000000000000000,fixed_128_pre_shadow,visible_open_seed_bound,999999999999163,999999999999191,999999999999199,999999999999311,112,9,1,6,128,selected_too_late
1000000000000000,anchor_prefix_to_seed,all_integer_anchor_bound,999999999999163,999999999999191,999999999999199,999999999999192,-7,0,2,100,28,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_anchor_bound,999999999999163,999999999999191,999999999999199,999999999999271,72,1,1,4,28,selected_too_late
1000000000000000,anchor_prefix_to_seed,all_integer_seed_bound,999999999999163,999999999999191,999999999999199,999999999999192,-7,0,2,128,28,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_seed_bound,999999999999163,999999999999191,999999999999199,999999999999271,72,1,1,6,28,selected_too_late
1000000000000000,fixed_128_pre_shadow,all_integer_anchor_bound,999999999999109,999999999999113,999999999999163,999999999999233,70,8,1,124,128,selected_too_late
1000000000000000,fixed_128_pre_shadow,visible_open_anchor_bound,999999999999109,999999999999113,999999999999163,999999999999191,28,12,1,5,128,selected_too_late
1000000000000000,fixed_128_pre_shadow,all_integer_seed_bound,999999999999109,999999999999113,999999999999163,999999999999233,70,8,1,128,128,selected_too_late
1000000000000000,fixed_128_pre_shadow,visible_open_seed_bound,999999999999109,999999999999113,999999999999163,999999999999191,28,12,1,5,128,selected_too_late
1000000000000000,anchor_prefix_to_seed,all_integer_anchor_bound,999999999999109,999999999999113,999999999999163,999999999999114,-49,0,6,124,4,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_anchor_bound,999999999999109,999999999999113,999999999999163,999999999999127,-36,1,5,5,4,selected_too_early
1000000000000000,anchor_prefix_to_seed,all_integer_seed_bound,999999999999109,999999999999113,999999999999163,999999999999114,-49,0,6,128,4,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_seed_bound,999999999999109,999999999999113,999999999999163,999999999999127,-36,1,5,5,4,selected_too_early
1000000000000000,fixed_128_pre_shadow,all_integer_anchor_bound,999999999999071,999999999999079,999999999999089,999999999999087,-2,6,1,120,128,selected_too_early
1000000000000000,fixed_128_pre_shadow,visible_open_anchor_bound,999999999999071,999999999999079,999999999999089,999999999999089,0,8,2,9,128,correct
