anchor_p,offset,candidate_q,carrier,carrier_offset,carrier_d,post_carrier_lower_d_count,post_carrier_ge_d_count,interior_prime_offsets,structural_status,structural_reasons,exact_status,exact_reasons
23,44,67,25,2,3,0,32,6 8 14 18 20 24 30 36 38,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
23,48,71,25,2,3,0,35,6 8 14 18 20 24 30 36 38 44,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
23,50,73,25,2,3,0,36,6 8 14 18 20 24 30 36 38 44 48,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
23,54,77,25,2,3,0,39,6 8 14 18 20 24 30 36 38 44 48 50,SURVIVES,,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
23,56,79,25,2,3,0,41,6 8 14 18 20 24 30 36 38 44 48 50,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
23,60,83,25,2,3,0,44,6 8 14 18 20 24 30 36 38 44 48 50 56,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
29,2,31,30,1,8,0,0,,SURVIVES,,SURVIVES,
29,8,37,33,4,4,0,3,2,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
29,12,41,33,4,4,0,6,2 8,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
29,14,43,33,4,4,0,7,2 8 12,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
29,18,47,33,4,4,0,10,2 8 12 14,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
29,20,49,33,4,4,0,11,2 8 12 14 18,SURVIVES,,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
29,24,53,49,20,3,0,3,2 8 12 14 18,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
29,30,59,49,20,3,0,8,2 8 12 14 18 24,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
29,32,61,49,20,3,0,9,2 8 12 14 18 24 30,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
29,38,67,49,20,3,0,14,2 8 12 14 18 24 30 32,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
29,42,71,49,20,3,0,17,2 8 12 14 18 24 30 32 38,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
29,44,73,49,20,3,0,18,2 8 12 14 18 24 30 32 38 42,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
29,48,77,49,20,3,0,21,2 8 12 14 18 24 30 32 38 42 44,SURVIVES,,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
29,50,79,49,20,3,0,23,2 8 12 14 18 24 30 32 38 42 44,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
29,54,83,49,20,3,0,26,2 8 12 14 18 24 30 32 38 42 44 50,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
29,60,89,49,20,3,0,31,2 8 12 14 18 24 30 32 38 42 44 50 54,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
29,62,91,49,20,3,0,32,2 8 12 14 18 24 30 32 38 42 44 50 54 60,SURVIVES,,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
31,6,37,33,2,4,0,3,,SURVIVES,,SURVIVES,
31,10,41,33,2,4,0,6,6,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
31,12,43,33,2,4,0,7,6 10,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
31,16,47,33,2,4,0,10,6 10 12,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
31,18,49,33,2,4,0,11,6 10 12 16,SURVIVES,,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
31,22,53,49,18,3,0,3,6 10 12 16,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
31,28,59,49,18,3,0,8,6 10 12 16 22,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
31,30,61,49,18,3,0,9,6 10 12 16 22 28,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
31,36,67,49,18,3,0,14,6 10 12 16 22 28 30,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
31,40,71,49,18,3,0,17,6 10 12 16 22 28 30 36,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
31,42,73,49,18,3,0,18,6 10 12 16 22 28 30 36 40,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
31,46,77,49,18,3,0,21,6 10 12 16 22 28 30 36 40 42,SURVIVES,,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
31,48,79,49,18,3,0,23,6 10 12 16 22 28 30 36 40 42,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
31,52,83,49,18,3,0,26,6 10 12 16 22 28 30 36 40 42 48,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
31,58,89,49,18,3,0,31,6 10 12 16 22 28 30 36 40 42 48 52,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
31,60,91,49,18,3,0,32,6 10 12 16 22 28 30 36 40 42 48 52 58,SURVIVES,,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
37,4,41,38,1,4,0,2,,SURVIVES,,SURVIVES,
37,6,43,38,1,4,0,3,4,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
37,10,47,38,1,4,0,6,4 6,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
37,12,49,38,1,4,0,7,4 6 10,SURVIVES,,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
37,16,53,49,12,3,0,3,4 6 10,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
37,22,59,49,12,3,0,8,4 6 10 16,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
37,24,61,49,12,3,0,9,4 6 10 16 22,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
37,30,67,49,12,3,0,14,4 6 10 16 22 24,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
37,34,71,49,12,3,0,17,4 6 10 16 22 24 30,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
37,36,73,49,12,3,0,18,4 6 10 16 22 24 30 34,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
37,40,77,49,12,3,0,21,4 6 10 16 22 24 30 34 36,SURVIVES,,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
37,42,79,49,12,3,0,23,4 6 10 16 22 24 30 34 36,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
37,46,83,49,12,3,0,26,4 6 10 16 22 24 30 34 36 42,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
37,52,89,49,12,3,0,31,4 6 10 16 22 24 30 34 36 42 46,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
37,54,91,49,12,3,0,32,4 6 10 16 22 24 30 34 36 42 46 52,SURVIVES,,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
37,60,97,49,12,3,0,38,4 6 10 16 22 24 30 34 36 42 46 52,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
37,64,101,49,12,3,0,41,4 6 10 16 22 24 30 34 36 42 46 52 60,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
41,2,43,42,1,8,0,0,,SURVIVES,,SURVIVES,
41,6,47,46,5,4,0,0,2,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
41,8,49,46,5,4,0,1,2 6,SURVIVES,,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
41,12,53,49,8,3,0,3,2 6,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
41,18,59,49,8,3,0,8,2 6 12,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
41,20,61,49,8,3,0,9,2 6 12 18,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
41,26,67,49,8,3,0,14,2 6 12 18 20,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
41,30,71,49,8,3,0,17,2 6 12 18 20 26,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
